family;mode;size;align_method;tree_method;slave;tc
ghf11;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;79.7
ghf11;slave;1000;FAMSA;FAMSA;mbed;81.8
ghf11;slave;1000;FAMSA;FAMSA;parttree;71.9
ghf11;slave;1000;FAMSA;FAMSA;famsadnd;79.7
ghf11;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;71.9
ghf11;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;73.4
ghf11;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;79.7
TNF;slave;1000;CLUSTALO;CLUSTALO;mbed;64.3
TNF;slave;1000;CLUSTALO;CLUSTALO;parttree;56.7
TNF;slave;1000;CLUSTALO;CLUSTALO;famsadnd;69.4
TNF;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;59.2
TNF;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;62.4
TNF;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;69.4
TNF;slave;1000;CLUSTALO;FAMSA;mbed;66.9
TNF;slave;1000;CLUSTALO;FAMSA;parttree;38.9
TNF;slave;1000;CLUSTALO;FAMSA;famsadnd;69.4
TNF;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;66.2
TNF;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;35.7
TNF;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;69.4
TNF;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;40.1
TNF;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;52.2
TNF;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;36.9
TNF;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;45.9
TNF;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;53.5
TNF;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;33.1
TNF;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;49.0
TNF;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;51.0
